filename,PSNR,SSIM,MSE
Desert_desert_104_generated_x2.png,39.6077791438448,0.9525261352104794,7.117089814814815
Desert_desert_102_generated_x2.png,39.169001184436894,0.9432426199462784,7.873725
Desert_desert_103_generated_x2.png,38.0401818885145,0.9492151580013356,10.210856481481482
Desert_desert_106_generated_x2.png,37.45465237778637,0.9388493024110816,11.684634259259258
BareLand_bareland_111_generated_x2.png,36.866491029289904,0.9317773709421976,13.37923425925926
Desert_desert_105_generated_x2.png,36.53544469867652,0.9024471558787368,14.43895925925926
Desert_desert_108_generated_x2.png,36.46844170800346,0.9447513000984534,14.663450925925924
Desert_desert_116_generated_x2.png,36.1819298712616,0.8708134862888272,15.663448148148149
BareLand_bareland_116_generated_x2.png,35.84168616547973,0.8985418461659055,16.939935185185185
BareLand_bareland_119_generated_x2.png,35.6864166418663,0.9147584208361288,17.556530555555554
Meadow_meadow_119_generated_x2.png,35.58702252106774,0.8956930818666023,17.96296851851852
Desert_desert_118_generated_x2.png,35.163236664544975,0.8951587407540825,19.80417222222222
Square_square_109_generated_x2.png,34.98699622776813,0.9166963216718672,20.624372222222224
Beach_beach_105_generated_x2.png,34.724734069482935,0.8644090284921112,21.908212962962963
Farmland_farmland_120_generated_x2.png,34.631060709244444,0.8772890325956023,22.385886111111112
Meadow_meadow_113_generated_x2.png,34.506563237675294,0.8121188299745898,23.0369
BareLand_bareland_113_generated_x2.png,34.5037714026086,0.8456585350965119,23.051713888888887
Desert_desert_110_generated_x2.png,34.43587984828655,0.8811924537685986,23.414903703703704
BareLand_bareland_114_generated_x2.png,34.4267198704323,0.8620336565964104,23.464341666666662
School_school_109_generated_x2.png,34.307067418896786,0.9297406286329304,24.11979537037037
Beach_beach_117_generated_x2.png,34.30699472971311,0.8445656113787056,24.120199074074076
Bridge_bridge_119_generated_x2.png,34.302585472447774,0.8484828298555552,24.1447
Desert_desert_111_generated_x2.png,34.22781910607048,0.8698784139420365,24.56396388888889
Desert_desert_101_generated_x2.png,34.21971786393978,0.8710944571553272,24.609827777777777
Desert_desert_113_generated_x2.png,34.212749872727635,0.8508389624912179,24.649344444444445
Desert_desert_107_generated_x2.png,34.003027253119406,0.8561463593682633,25.86888055555556
Desert_desert_114_generated_x2.png,33.645697093120205,0.8531258751081024,28.08734259259259
Farmland_farmland_107_generated_x2.png,33.58951604486013,0.8573887853146335,28.45304537037037
Meadow_meadow_104_generated_x2.png,33.499452705941685,0.8173917091346738,29.04926111111111
Desert_desert_115_generated_x2.png,33.48332462499324,0.8558412284776727,29.15733981481481
BareLand_bareland_115_generated_x2.png,33.47344293059265,0.8542046221701401,29.223758333333333
Desert_desert_120_generated_x2.png,33.468128282469614,0.9264681193793618,29.25954259259259
Bridge_bridge_107_generated_x2.png,33.39868977449177,0.9103096253605324,29.73112777777778
Farmland_farmland_108_generated_x2.png,33.318836287802505,0.8519439559681827,30.282849074074075
Desert_desert_119_generated_x2.png,33.27546383257874,0.8842007843352225,30.58679537037037
Meadow_meadow_106_generated_x2.png,33.183729913554906,0.764922012756268,31.23973703703704
Meadow_meadow_111_generated_x2.png,33.065502120658635,0.7920185457475927,32.101856481481484
Desert_desert_109_generated_x2.png,32.94940472531092,0.8946105588103865,32.97158981481481
Farmland_farmland_118_generated_x2.png,32.91558091197611,0.8797527495512117,33.22938240740741
Farmland_farmland_117_generated_x2.png,32.885274204846326,0.8668766246561334,33.46208055555555
Meadow_meadow_107_generated_x2.png,32.86727009347908,0.7741603132055688,33.60108888888889
Meadow_meadow_112_generated_x2.png,32.86646355187783,0.7903946015380493,33.60732962962963
BareLand_bareland_103_generated_x2.png,32.84143995004974,0.822305671968755,33.80153055555556
RailwayStation_railwaystation_120_generated_x2.png,32.773187501955974,0.8408039450798666,34.33694166666667
BareLand_bareland_118_generated_x2.png,32.764399347157195,0.8547256518441131,34.40649444444445
Resort_resort_108_generated_x2.png,32.73712970595031,0.90337065243915,34.623214814814816
Desert_desert_112_generated_x2.png,32.71389784299736,0.8783204388093396,34.80892222222222
Desert_desert_117_generated_x2.png,32.71299569891409,0.8700052906877902,34.816153703703705
BareLand_bareland_117_generated_x2.png,32.610276961265804,0.8452168071088414,35.649436111111115
Beach_beach_118_generated_x2.png,32.60353542158505,0.8232069442061783,35.70481759259259
Meadow_meadow_118_generated_x2.png,32.58571055846285,0.7687747901448204,35.85166296296296
Resort_resort_105_generated_x2.png,32.57363144422435,0.8920810759271877,35.95151666666667
Bridge_bridge_115_generated_x2.png,32.540839667968044,0.9378276954471436,36.22399907407407
Farmland_farmland_101_generated_x2.png,32.52304709730039,0.8489951134049522,36.37270925925926
Meadow_meadow_101_generated_x2.png,32.41164209512447,0.7805689702780634,37.31781018518519
River_river_110_generated_x2.png,32.39795713067352,0.8671512316263751,37.43558703703704
Beach_beach_109_generated_x2.png,32.24657025072887,0.8842652215559137,38.76353148148148
Farmland_farmland_119_generated_x2.png,32.23966151775463,0.8592440520646777,38.82524537037037
Mountain_mountain_120_generated_x2.png,32.23871310024308,0.8542942162313937,38.833725
Beach_beach_104_generated_x2.png,32.21729174875576,0.8298839768049074,39.02574351851852
Farmland_farmland_106_generated_x2.png,32.21139594342445,0.8517062040212032,39.07875925925926
Meadow_meadow_114_generated_x2.png,32.15206905867354,0.8120263274511491,39.61625833333333
Port_port_112_generated_x2.png,32.131224172379035,0.9201795081179506,39.80686203703704
Meadow_meadow_108_generated_x2.png,32.12572717389292,0.7879737795509684,39.857278703703706
Meadow_meadow_110_generated_x2.png,32.11251521952944,0.7811031697143603,39.97871574074074
